Label,CCR4,CD11b,CD11c,CD14,CD15,CD16,CD163,CD19,CD20,CD27,CD3,CD31,CD4,CD45RA,CD45RO,CD56,CD68,CD7,CD8a,CD90,CXCR5,FOXP3,GranzymeB,HLADR,ICOS,IDO,Ki67,LAG3,OX40,PD1,SMA,SPARC,TCRgd,TIGIT,TIM3,Tbet,VISTA,Vimentin,clcaspase
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.502471581101417,1.0631655752658844,0.0,0.0,0.0,0.5474253743886948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.234458781778812,0.0,0.0,0.1410291492938995,0.0,0.0,0.0,0.0,0.0,0.0,0.866370290517807,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.1983795315027237,0.0,0.0,0.0,0.0,0.25666405260562897,1.5443203300237656,1.872992306947708,0.0,3.2490444630384445,0.0,0.0,0.0,0.0,0.0,1.652512609958649,0.0,0.0,0.0,0.0,1.9072924181818962,0.0,0.0,0.0,0.0,0.9667822663486241,0.0,3.053295731544494,0.0,0.6531192660331726,0.0,0.0,0.0,0.9770206212997437,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9756746292114256,1.634310632944107,0.0,0.0,0.0,0.0,3.171535849571228,0.0,0.0,0.0,0.0,0.0,0.0,1.305020809173584,0.0,0.0,2.613396622240544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664484515786171,0.7130192816257477,0.0,0.0,0.0,0.0,0.2874588668346405,0.0,0.0,0.0,0.0,0.0,0.0,0.8235908448696136,0.0,0.0,0.4317284077405929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4145893901586533,2.018011152744293,0.0,0.2681283950805664,0.0,1.4698579013347626,0.0,0.0,2.707220017910004,0.0,0.0,0.0,0.0,0.0,0.3540919721126556,0.0,0.0,0.0,0.0,0.0,0.0,1.0526708960533142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.094242386519909,0.0,0.0,0.0,7.017945155501366,1.7065287977457049,1.743572473526001,0.0,0.0,0.0,2.052876576781273,0.0,0.0,0.0,0.0,0.8468583822250366,0.0,5.813914716243744,0.0,0.0,3.63486497104168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752903997898102,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,1.2009203779469928,0.9904507249593735,0.0,0.0,0.0,2.67055843770504,0.6603056117892265,0.2563491836190223,0.0,0.0,0.0,1.1481170803308487,0.0,0.0,4.353697579438134,0.0,0.0,0.0,0.4099197685718536,0.0,0.0,2.8758232966065407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3892435133457184,0.0,1.1855203211307526,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,16.989711061856262,9.13257996737957,0.0,0.0,0.993525207042694,9.07055877149105,9.890309825539589,4.705594688653946,0.7908520996570583,0.0,1.1450391709804535,4.506017342209816,2.420350432395935,0.0,4.033488929271698,7.464566931128502,18.175649543396467,0.0,2.334360361099243,0.0,1.908212845396135,10.81152769178152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2617151159233995,0.0
9,0.0,0.0,0.0,0.8310678005218506,0.0,0.0,0.0,5.912582814693451,3.1982251182198524,3.879763387143612,2.1730680614709854,0.0,0.396467387676239,3.680006518959999,5.007333904504776,0.0,0.0,0.8545289635658264,10.558366398223406,0.6256738901138306,0.8253174275159836,0.0,0.0,6.248771600425243,0.0,0.0,0.0,0.0,0.9468000531196594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.342787346295374,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,2.868635356426239,3.9985420256853104,10.357417966661748,2.911202684044838,0.0,0.0,0.0,7.787870994199508,0.0,0.0,0.0,0.0,0.5140032172203064,0.0,0.6378779411315918,0.0,0.0,2.643676094710827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6501225829124451,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3856350183486938,1.322766862809658,0.4303873479366302,1.7680111527442932,0.0,0.7151715457439423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7295730859041214,0.0,0.0,2.277693159878254,0.0,0.0,0.0,0.0,0.0,0.0,5.112565815448761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.919723123311996,2.356410473585129,4.632804274559021,0.0,0.0,0.0,2.465322494506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3665280938148498,0.0,4.425304628908634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752903997898102,0.0,0.0,2.5714285373687744,1.6794733308868066,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.2910447418689728,4.927490919828415,2.8979281783103943,7.9092829754255645,0.0,0.0,0.82728610932827,1.2863412648439407,0.0,0.0,0.0,0.0,0.0,0.8140026926994324,1.9979009181261065,0.0,0.0,4.1606742814183235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752903997898102,0.0,0.0,0.32258530808146535,0.0,0.0
