Label,CCR4,CD11b,CD11c,CD14,CD15,CD16,CD163,CD19,CD20,CD27,CD3,CD31,CD4,CD45RA,CD45RO,CD56,CD68,CD7,CD8a,CD90,CXCR5,FOXP3,GranzymeB,HLADR,ICOS,IDO,Ki67,LAG3,OX40,PD1,SMA,SPARC,TCRgd,TIGIT,TIM3,Tbet,VISTA,Vimentin,clcaspase
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7760307319565657,0.0635467078954713,0.0,0.0,0.0,0.17286127582233735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4537644650456496,0.0,0.0,0.0011361044886787977,0.0,0.0,0.0,0.0,0.0,0.0,0.12063455958785023,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.08144443903439239,0.0,0.0,0.0,0.0,0.09994376502265849,0.12461033580240034,0.7928132006975319,0.0,0.3122804546402571,0.0,0.0,0.0,0.0,0.0,0.7094210675138166,0.0,0.0,0.0,0.0,0.1867901528576564,0.0,0.0,0.0,0.0,0.5414884970330405,0.0,0.3025329953157932,0.0,0.186155808979647,0.0,0.0,0.0,0.1403364869951836,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1042945102086327,0.40758362713451257,0.0,0.0,0.0,0.0,0.8134873259930196,0.0,0.0,0.0,0.0,0.0,0.0,0.09903097267162317,0.0,0.0,0.1538189506349872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15761255524837478,0.8056392176097058,0.0,0.0,0.0,0.0,0.3305984831468535,0.0,0.0,0.0,0.0,0.0,0.0,0.28022643338891545,0.0,0.0,0.11366538713175539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08310046385827935,0.6218917780981742,0.0,0.018762397420316622,0.0,0.4491897189716523,0.0,0.0,0.8304277030039691,0.0,0.0,0.0,0.0,0.0,0.02434596490639966,0.0,0.0,0.0,0.0,0.0,0.0,0.07593690045825661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.4627183378911873,0.0,0.0,0.0,0.621944236866454,0.7172579327800357,0.1413770624157363,0.0,0.0,0.0,0.8793918340074619,0.0,0.0,0.0,0.0,0.3653359093113512,0.0,0.7368187815162952,0.0,0.0,0.35867668754385784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052000324938618926,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.2721431322863724,0.22388933635625607,0.0,0.0,0.0,0.12671498189292896,0.14230155941112896,0.011174638694942264,0.0,0.0,0.0,0.2644042117882326,0.0,0.0,0.9981850020102064,0.0,0.0,0.0,0.027928878422639674,0.0,0.0,0.15196095695636108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03328462963377238,0.0,0.12038894139145562,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.7691400476724024,0.41450141574498284,0.0,0.0,0.04632600897542792,0.0857696370875516,0.4431588338247031,0.04097814882613079,0.03612861323865431,0.0,0.01187765298572327,0.20730573501904093,0.10964718171117256,0.0,0.18474381942493487,0.33942799557579456,0.8421130164859402,0.0,0.03177304220433014,0.0,0.03422682313407372,0.11386887601216178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931285361996096,0.0
9,0.0,0.0,0.0,0.07285598704063355,0.0,0.0,0.0,0.1111944779848595,0.28140222643185325,0.06708074154899782,0.1970988747589618,0.0,0.008165307684381225,0.3361412742710726,0.45038152981091406,0.0,0.0,0.07714799194879828,0.9712520871567025,0.03111991944927453,0.02230317600186594,0.0,0.0,0.13082114396056005,0.0,0.0,0.0,0.0,0.11237518124216503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5706856878892835,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.2423429484898484,0.06837152327446919,0.8486501232459933,0.04593241766883274,0.0,0.0,0.0,0.6491517775387464,0.0,0.0,0.0,0.0,0.04314746858578064,0.0,0.01573031890351654,0.0,0.0,0.04986672863938605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053378495624508714,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1229397792493615,0.5570545914912547,0.03508707590319927,0.7561202725091261,0.0,0.06944970064202018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2203838065897038,0.0,0.0,0.22558873110108266,0.0,0.0,0.0,0.0,0.0,0.0,0.5118159209852113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7065338441204236,0.26802930174578377,0.0,0.0,0.0,0.7535163847946373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2366012731564415,0.0,0.31143445370471573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037102692781861006,0.0,0.0,0.26482743525553504,0.5056332786298918,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.08847325158617195,0.3054219020470986,0.8544604976762846,0.4490360064704497,0.0,0.0,0.05594641414353312,0.38581658638922,0.0,0.0,0.0,0.0,0.0,0.1531643326489793,0.1772846280716469,0.0,0.0,0.28725730540788214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03640920204753921,0.0,0.0,0.0326015936293698,0.0,0.0
14,0.0,0.10997078074846411,0.4751397745672212,0.25280092207251237,0.0,0.0,0.0,0.005828931289645646,0.0,0.1103996417861008,0.0,0.0313801457845746,0.0626065464932407,0.0,0.5526665502735748,0.0,0.07417711414733869,0.06756976764681141,0.967142135773817,0.0,0.0,0.0,0.0,0.009055160751482069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.02318737167849814,0.0,0.0,0.3884139117415054,0.0,0.007393450002290528,0.014816360876216092,0.0,0.8618640781004245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014947957949339234,0.0,0.0,0.0010212400984795352,0.0,0.0,0.0,0.0,0.011985610313965613,0.0,0.0,0.0,0.0,0.06701078488950785,0.04313156790930001,0.0
16,0.0,0.061310875932430134,0.7198226530163336,0.23703856890152195,0.0,0.0,0.5126811726392675,0.39431313918374367,0.4293389880005186,0.0391246395782851,0.0,0.0,0.030519170258711908,0.2397681318599748,0.0,0.0,0.6986765945326656,0.0,0.7313024131029564,0.05338315855281311,0.30438959065188986,0.0,0.0,0.042655309390001825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277050951461097,0.3497819402567884,0.05809414868775705,0.0,0.0,0.10688483160730666,0.32376864857644905,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21777443049895343,0.8710772060285165,0.01887447924265534,0.0,0.0,0.0,0.4238974835101517,0.0,0.0,0.0,0.0,0.05347760186932496,0.03733826377143215,0.045671272773790364,0.0,0.0,0.11668228070850026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666478703873083,0.0
18,0.0,0.0,0.08387842038550837,0.12851878457083515,0.0,0.0,0.0,0.20397944222727152,0.9320282024648685,0.11311598230565682,0.0,0.0,0.0,0.4836960941178198,0.0,0.0,0.0,0.0,0.027929062823537732,0.0,0.0535756852958829,0.22790265589052627,0.0,0.1909643546198075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026198414151417257,0.02227896665574587,0.0,0.07268569185201054,0.16819728004722212,0.0
19,0.0,0.0,0.0,0.04848642194796206,0.0,0.0,0.0,0.14415098130039244,0.6809716288103972,0.05629350211366969,0.06170890082799312,0.0,0.10150410661927367,0.6614706749823519,0.027026084099217522,0.0,0.0,0.7250553406703454,0.0,0.0,0.009230689244613023,0.0,0.0,0.06787008120186667,0.00928787150672559,0.0,0.0,0.0,0.11605943220129308,0.0,0.00883393440420962,0.0,0.06182093408326513,0.07176984427371774,0.015025929309887885,0.0,0.27869991612106576,0.0,0.0
20,0.0,0.0,0.027384825362550606,0.09890976966737898,0.0,0.0,0.11647624810897593,0.18377962873688575,0.8593362004552604,0.06580640428326202,0.0,0.1310452177890523,0.003490881368259826,0.5608259989465804,0.0,0.0,0.0,0.0,0.0,0.0,0.016812958657720384,0.0,0.006613366506902951,0.11485324801820251,0.0,0.0,0.0,0.0,0.0,0.0,0.013714523028864906,0.0,0.0,0.0,0.0,0.0,0.0,0.6194747571025704,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16670313643934542,0.6651717531108602,0.07478971353171993,0.0,0.0,0.0,0.723474342631014,0.0,0.0,0.0,0.0,0.050104656910940036,0.0,0.0,0.0,0.0,0.21606755023383922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.5098511580212303,0.37451069171206297,0.0,0.0,0.0,0.20855839013723168,0.6034837545470983,0.050251668028784835,0.0,0.0,0.0,0.7038724389348132,0.0,0.0,0.0,0.0,0.061110564908737605,0.0,0.08191438824247052,0.0,0.0,0.2216445500872635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7971817360844583,0.0
23,0.0,0.0,0.0,0.0,0.0,0.33077530132742905,0.29357206016100773,0.20405479721161246,0.8818770550157663,0.045512824715508576,0.0,0.026286767037591946,0.061540372451839576,0.6904724894020291,0.17667458684618473,0.0,0.0,0.15060427849917546,0.11139875083719643,0.0,0.22567849809557397,0.0,0.0,0.47192477046882547,0.0,0.0,0.0,0.0,0.0,0.09685064363557316,0.0,0.0,0.0,0.19107343795042644,0.0,0.0,0.06130167642682738,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.3494816467641143,0.30270867978862137,0.8029312330243271,0.2709129435468742,0.0,0.0,0.0,0.6833069252969785,0.0,0.0,0.0,0.0,0.0,0.0,0.097082841834207,0.0,0.0,0.22006151411288813,0.0,0.0,0.0,0.0,0.24587037624502786,0.0,0.02049338298184656,0.0,0.0,0.061089819885127926,0.0,0.0,0.0,0.0,0.0
25,0.7110515526964594,0.0,0.8784341922880088,0.05872654313511723,0.0,0.0,0.0,0.15165384399845924,0.6014084324694725,0.26250126980059096,0.0,0.0,0.0,0.39474778105561015,0.0,0.0,0.0,0.0,0.0,0.0,0.04927608257554234,0.0,0.0,0.2278834835346291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.07195626843956836,0.0,0.0,0.6639564101842235,0.14637932572981172,0.8865987170646594,0.5433885401521628,0.0,0.0,0.14198324345713004,0.5523816701000064,0.0,0.0,0.0,0.028148018509510302,0.3769957295973188,0.0,0.0,0.0,0.0,0.29602961982070813,0.0,0.07084687222434942,0.0,0.0,0.0,0.0,0.0,0.0,0.6285840489355852,0.02366657088464069,0.0,0.0,0.5099935601692438,0.0,0.0
27,0.0,0.0,0.0,0.6538901171642485,0.0,0.0,0.0,0.2742651649092486,0.7150004489576601,0.253785003817809,0.08565567255071196,0.0,0.0,0.6691611576843536,0.0,0.0,0.0,0.0,0.657706485272085,0.0,0.0,0.0,0.0,0.44874599820322003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1493801372139089,1.0,0.0,0.0,0.22498320324712293,0.0,0.0
28,0.0,0.07892853825386063,0.0,0.04161262085356551,0.0,0.0,0.0,0.1782900789758487,0.8356789666464752,0.028017156827148282,0.0,0.0,0.0,0.7202144797263823,0.0,0.0,0.0,0.0,0.3483537017488731,0.01613284356738027,0.09681255572514254,0.0,0.02576644886217268,0.21950377266185137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044007037035607495,0.0,0.0,0.006322730006628996,0.10136137957742578,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.1692548062120674,0.20664841346848523,0.7983467267386208,0.2028516722046756,0.0,0.0,0.0,0.6440916465394956,0.0,0.0,0.0,0.0,0.0,0.1322169239815844,0.0990945020943616,0.0,0.0,0.25863406474678524,0.0,0.0,0.0,0.0,0.0,0.0,0.050549334646978895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.032331393225943424,0.30850811005580675,0.12904829223765357,0.0,0.0,0.0,0.2115383246451556,0.803484593669733,0.0582986360187836,0.0,0.022491163058655592,0.0,0.7748456366303069,0.0,0.0,0.0,0.0,0.019866249485882375,0.0,0.13878720974497197,0.0,0.0,0.20685481020235996,0.0,0.0,0.0,0.0,0.0,0.0,0.017841222972563436,0.0,0.0,0.0,0.0,0.0,0.0314701157045219,0.10379713058954086,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01371628000587136,0.7377050869640147,0.0,0.07801700941802311,0.0,0.5916600751202243,0.0,0.0,0.0,0.0,0.0,0.20635396579805376,0.0,0.0,0.15901856021799343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09267331053904024,0.0,0.0,0.6768918105013981,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09959808981948302,0.38599563050530417,0.0018182545971474375,0.0,0.0,0.0,0.8328416745673245,0.0,0.0,0.0,0.0,0.02417145838905056,0.0,0.08702236048050666,0.0,0.0,0.07775488978417107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12070061596859154,0.0,0.0,0.01332923354878558,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09822261119632468,0.8520940966686786,0.0,0.0,0.26511745496544215,0.024071040514112182,0.5903673101090614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612207110749815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027055144117612315,0.0,0.0,0.20932657088108164,0.0,0.0
34,0.0,0.0,0.10510574123392438,0.010459995533122615,0.0,0.0,0.0,0.03073078812403698,0.020395167933125763,0.07608932152303971,0.32531701990789247,0.0,0.057478477903391285,0.0,0.7602054210158087,0.0,0.0,0.8017395526264277,0.1118824321659266,0.0,0.0023880095493859802,0.0,0.0,0.019129372668192004,0.03169755018209352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005418554196618589,0.0,0.0792700335822529,0.0,0.0
35,0.0,0.0,0.0,0.07227784874164057,0.0,0.0,0.025714731424103975,0.0026075238246530885,0.01780855684729952,0.04984025171548867,0.0,0.8972157520353325,0.07046876900312495,0.02072630613037918,0.0,0.0,0.0,0.0,0.06928093065002668,0.0,0.0032212771786795614,0.0,0.0,0.0006942420296944926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06315015799901774,0.032370617159539795,0.0,0.0,0.23653476538505885,0.2558558324124553,0.0
36,0.0,0.130278447454455,0.18241514538683334,0.05623768691769955,0.0,0.0,0.047985469739201425,0.19058533357347512,0.7691898667778636,0.03371872336011906,0.020632578739453254,0.0,0.007170832403956212,0.8096213277031329,0.0,0.0,0.031796862553255055,0.06422994978780276,0.19915970098763405,0.02364009101039653,0.06121133110891946,0.0,0.0,0.23130509286998271,0.021574235409300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0943014491869258,0.00938388446588522,0.0,0.0,0.07575986055909606,0.0
37,0.037195704724494315,0.0,0.0,0.0,0.0,0.0,0.21701376838098171,0.3035654429585149,0.21984896990515593,0.8068191878150751,0.0,0.0,0.09618992780111899,0.4344529628938229,0.0,0.0,0.0,0.0,0.05020851202958879,0.06738561910763244,0.10206524119510219,0.0,0.0,0.07260605954494581,0.03150398783411326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020284610351155124,2.2487150070370447e-19,0.0,0.8923267049054494,0.9766400265401357,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.032786560194098376,0.22436169230604575,0.4988474949340681,0.06787675035366815,0.1566152492844562,0.030990980138312703,0.028047438793085376,0.9699728021192225,0.02880938273962908,0.0,0.0,0.2932221559267251,0.0,0.0,0.33239235206054335,0.20775832849046638,0.0,0.16365367514953746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035892191754694383,0.0,0.0,0.0,0.0
39,0.0,0.0,0.34933758186115177,0.18016045262676705,0.0,0.0,0.0,0.2154299874775689,0.8260438440900127,0.03802935761920093,0.0,0.0,0.057004882891486176,0.5883096661827709,0.0,0.0,0.0,0.0,0.3484847804299544,0.0,0.18478482954864797,0.0,0.0,0.18826640191775668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009970249561166749,0.02105040975010959,0.0,0.09037812407048182,0.7144170370879938,0.0
40,0.0,0.0,0.0,0.1502951885938629,0.0,0.0,0.020098822177420875,0.10904064920360648,0.4130020292588118,0.07640434803994221,0.14797426520594217,0.0869111124943935,0.0,0.4511727413844268,0.0,0.0,0.0,0.5402519751097221,0.9783456744399718,0.0,0.11668780799941722,0.0,0.0,0.09985650796205554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06238306203163873,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0029969532115731996,0.0,0.0,0.0,0.08015835052349879,0.38865397518867784,0.013875371369829602,0.0,0.3746652696883649,0.0,0.4581847841509862,0.0,0.0,0.0,0.0,0.013246819147508904,0.0,0.08297653073292459,0.0,0.0,0.07357863018782723,0.0,0.0,0.0,0.0,0.0,0.0,0.026438048298826636,0.10903815657331521,0.0,0.004647963638617737,0.0,0.0,0.0,0.9899574810937313,0.0
42,0.0,0.0,0.11481930978039588,0.002888102792221597,0.0,0.0,0.16059462469115582,0.43433172128332304,0.9344634100105941,0.13204229900989176,0.0,0.014366632748352913,0.0,0.4224354496971793,0.0,0.0,0.0,0.0,0.0,0.0,0.06780280174488615,0.0,0.0,0.2081340624558336,0.0,0.0,0.0,0.0,0.0,0.0,0.029320437797163867,0.0,0.0,0.012589522180888157,0.0,0.0691316386308348,0.023221485224521072,0.03227851116699501,0.0
43,0.0,0.0,0.1670450226842271,0.1393679653254651,0.0,0.0,0.04185682618855426,0.27750675101500444,0.9492529425191828,0.11749684142605234,0.0,0.10237127405659256,0.0,0.573211371990491,0.0,0.0,0.1650309553543493,0.0,0.23239311890500342,0.0,0.040684629684374835,0.0,0.0,0.14312802642187036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039547937589340915,0.0,0.0,0.0,0.26748366386186,0.0
44,0.0,0.0,0.4831154829056253,0.15794401541213973,0.0,0.0,0.0,0.0,0.0,0.008700484412001712,0.0,0.25158366217058287,0.02846404200924196,0.0,0.05432087533535677,0.0,0.0,0.0,0.02182437109093911,0.025481762765009932,0.004918431306565423,0.0,0.0,0.023259357702400466,0.0,0.0,0.0,0.0,0.0,0.0,0.0525942485236434,0.06182481968346953,0.0,0.0,0.0,0.0,0.002880997928582142,0.9570338197012921,0.0
45,0.0,0.0,0.0,0.004730855960052977,0.0,0.0,0.0,0.09169486718322883,0.3332697443706375,0.01842146231182927,0.0,0.0,0.0,0.85731386262048,0.0,0.0,0.0,0.0,0.02426934869595609,0.0,0.038181361159355304,0.0,0.0,0.059350950132365715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005634119334647287,0.03255177817701953,0.0
46,0.0,0.0,0.9714790024805247,0.5209092369398485,0.0,0.0,0.34229403675616227,0.0906387858125399,0.0,0.16900015387746725,0.0,0.0,0.07003417855154899,0.0,0.1350001553784369,0.0,0.10671711015479333,0.0,0.25769628434047803,0.0,0.010217297941237245,0.0,0.0,0.04039487846694474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152835024650283,0.0,0.07453702567836906,0.0,0.0,0.024733018580095793,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18919621701931585,0.43361258214843773,0.03017908748533453,0.0,0.3964100706704016,0.0,0.2598479827075221,0.0,0.0,0.0,0.0,0.056085838967270235,0.0,0.20563222322256852,0.0,0.0,0.2503057549519654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15674202502586185,0.0,0.048615411199567846,0.0,0.0,0.0,0.9885694035594947,0.0
48,0.0,0.0,0.10200250102697116,0.04616123959417611,0.0,0.0,0.0,0.11955395062309811,0.7226321660208446,0.050931950351097925,0.0,0.0,0.0,0.8253682092691306,0.0,0.0,0.0,0.0,0.4551351418258777,0.0,0.2733386918595903,0.0,0.0,0.369613891696649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032045754041097704,0.0,0.0,0.0,0.04697133756968983,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19955396268509595,0.7709058535559411,0.05894723976863606,0.0,0.0,0.0,0.7060475356965471,0.0,0.0,0.0,0.0,0.22446567803069256,0.0,0.051611925045865314,0.0,0.0,0.21286366856048966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007869545550734899,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.02906523127361473,0.17732409745927094,0.5907716738456923,0.03705365579901176,0.0,0.0,0.0,0.8479492451017342,0.0,0.0,0.0,0.0,0.0,0.0,0.08975673463426341,0.0,0.0,0.1850042852815041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0683989795232235,0.0,0.0,0.0,0.1454970833187874,0.0
51,0.0,0.0,0.0,0.06600789347985764,0.0,0.0,0.0,0.18046340228688823,0.5632817464025138,0.019109764514553557,0.0,0.15166053135819768,0.006276566197543268,0.6339233960288211,0.0,0.0,0.0,0.0,0.012178658677596897,0.0,0.12026776232256518,0.0,0.0,0.11817359807344714,0.0,0.0,0.0,0.0,0.01693234093757094,0.0,0.0,0.017471966534177055,0.0,0.005711998749480779,0.0,0.0,0.013431725047168136,0.8594456213774493,0.0
52,0.0,0.0,0.9774430065102182,0.5001823888091984,0.0,0.0,0.34828905784972325,0.1847714951232068,0.21604912632963463,0.04827424273924029,0.020111975740333816,0.0,0.02632107767996615,0.2058339596515023,0.046147076689959814,0.0,0.4186434067921583,0.0,0.1324721121276854,0.0,0.15262837643179766,0.0,0.0,0.06384863842264067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054260730133128465,0.0,0.0,0.0,0.0,0.0
