FOV,Label,Area,Perimeter,Convex_Area,Solidity,BoundingBox_Area,Extent,Orientation,Eccentricity,Equivalent_Diameter,Major_Axis_Length,Minor_Axis_Length,Major_Minor_Axis_Ratio,Circularity,Form_Factor,Euler_Number,Centroid_Row,Centroid_Col,Nucleus_Area,Nucleus_Eccentricity,NC_Area_Ratio,Nucleus_Centroid_Row,Nucleus_Centroid_Col,Centroid_Deviation,Mean_DNA1_Intensity,Integrated_DNA1_Intensity,Mean_DNA2_Intensity,Integrated_DNA2_Intensity,Mean_HistoneH3_Intensity,Integrated_HistoneH3_Intensity
Tonsil1_1,1,12.0,9.621320343559642,13.0,0.9230769230769231,15.0,0.8,1.4863803757893361,0.8412668804818468,3.9088200952233594,5.294328785763617,2.862220279862641,1.8497279273060332,1.6290025362204212,0.6138725863006818,1,0.75,185.08333333333334,11.0,0.8790490729915326,0.9166666666666666,0.6363636363636364,185.0,0.14091723664953798,0.25006914138793945,2.750760555267334,0.2997903525829315,3.2976938784122467,0.11084019392728806,1.2192421332001686
Tonsil1_1,2,27.0,19.035533905932738,30.0,0.9,36.0,0.75,-1.5296804628853589,0.9125211292641138,5.863230142835039,9.308083153677192,3.8072812443220783,2.4448110229730564,0.9363614025461229,1.0679637128151942,1,1.1111111111111112,296.6666666666667,15.0,0.9770664475983113,0.5555555555555556,0.4,297.2,0.8888888888888707,0.39718014001846313,5.957702100276947,0.3679984509944916,5.519976764917374,0.20452943444252014,3.067941516637802
Tonsil1_1,3,17.0,13.414213562373096,17.0,1.0,18.0,0.9444444444444444,1.4956106127913293,0.8757267355038014,4.652426491681278,6.585670706008096,3.1796084995103278,2.0712206257538672,1.1872122054039382,0.8423093996576282,1,0.9411764705882353,399.6470588235294,17.0,0.8757267355038014,1.0,0.9411764705882353,399.6470588235294,0.0,0.5089966654777527,8.652943313121796,0.4740220308303833,8.058374524116516,0.1260010004043579,2.1420170068740845
Tonsil1_1,4,4.0,4.621320343559642,4.0,1.0,6.0,0.6666666666666666,1.5707963267948966,0.7905694150420949,2.256758334191025,2.8284271247461903,1.7320508075688772,1.6329931618554523,2.3536273758173025,0.42487609137905596,1,0.25,444.0,3.0,0.816496580927726,0.75,0.3333333333333333,444.3333333333333,0.34359213546812,0.655562698841095,1.966688096523285,0.5741453766822815,1.7224361300468445,,
Tonsil1_1,5,13.0,10.82842712474619,13.0,1.0,15.0,0.8666666666666667,1.311223269671635,0.836165849461683,4.068428945128219,5.327693424801688,2.9221156196156555,1.8232315617622403,1.3932288539364366,0.7177571704566658,1,1.0,80.0,12.0,0.7950060587397373,0.9230769230769231,1.0833333333333333,80.16666666666667,0.1863389981249867,0.5400575995445251,6.480691194534302,0.5114261507987976,6.137113809585571,0.1123683750629425,1.34842050075531
Tonsil1_1,6,24.0,17.899494936611667,24.0,1.0,40.0,0.6,-1.4736758287041947,0.7861794902797489,5.527906391541368,7.4753135231439956,4.619730506525539,1.6181276186099687,0.9413249113751818,1.062332450693459,1,1.25,95.16666666666667,24.0,0.7861794902797489,1.0,1.25,95.16666666666667,0.0,0.8386881947517395,20.128516674041748,0.8484113812446594,20.361873149871826,0.8199822306632996,19.67957353591919
Tonsil1_1,7,19.0,15.035533905932738,20.0,0.95,24.0,0.7916666666666666,-1.409097327112796,0.9175944603729673,4.918490759365935,7.786205696747998,3.0951554076513697,2.5156105821052255,1.0561503718961653,0.9468348699292172,1,0.9473684210526315,105.36842105263158,19.0,0.9175944603729673,1.0,0.9473684210526315,105.36842105263158,0.0,0.4646935760974884,8.82917794585228,0.49382320046424866,9.382640808820724,0.4521740972995758,8.59130784869194
Tonsil1_1,8,25.0,16.242640687119284,25.0,1.0,28.0,0.8928571428571429,1.4948974661988204,0.8200301352030006,5.641895835477563,7.374269390775276,4.220444402225297,1.747273198738757,1.1907938922533645,0.8397758894342989,1,1.56,117.12,25.0,0.8200301352030006,1.0,1.56,117.12,0.0,0.5544167160987854,13.860417902469635,0.5708688497543335,14.271721243858337,0.40533924102783203,10.1334810256958
Tonsil1_1,9,30.0,20.82842712474619,34.0,0.8823529411764706,40.0,0.75,-1.4470693739966576,0.9103168841287893,6.180387232371033,10.044905950000254,4.157707435873303,2.4159722887982324,0.8689967827003791,1.1507522466222864,1,1.2,124.2,30.0,0.9103168841287893,1.0,1.2,124.2,0.0,0.7140369415283203,21.42110824584961,0.7069305777549744,21.20791733264923,0.654573380947113,19.63720142841339
Tonsil1_1,10,22.0,16.071067811865476,23.0,0.9565217391304348,32.0,0.6875,1.481576901167465,0.8407499800637026,5.292567428401227,7.29549877822738,3.94995491846104,1.846982795709935,1.070392549811525,0.9342366967857542,1,1.2272727272727273,161.6818181818182,20.0,0.8726183837251875,0.9090909090909091,1.1,161.8,0.1736815743140296,0.40480107069015503,8.0960214138031,0.4756079614162445,9.51215922832489,0.40866073966026306,8.173214793205261
Tonsil1_1,11,23.0,16.242640687119284,24.0,0.9583333333333334,28.0,0.8214285714285714,-1.3013080768803236,0.8652264283810107,5.4115163798060095,7.590844867692737,3.805907816545795,1.9944899439477528,1.0955303808730954,0.9127998798198903,1,1.3478260869565217,197.7391304347826,23.0,0.8652264283810107,1.0,1.3478260869565217,197.7391304347826,0.0,0.41467931866645813,9.537624329328537,0.4312663972377777,9.919127136468887,0.47546833753585815,10.935771763324738
