Label,CCR4,CD11b,CD11c,CD14,CD15,CD16,CD163,CD19,CD20,CD27,CD3,CD31,CD4,CD45RA,CD45RO,CD56,CD68,CD7,CD8a,CD90,CXCR5,FOXP3,GranzymeB,HLADR,ICOS,IDO,Ki67,LAG3,OX40,PD1,SMA,SPARC,TCRgd,TIGIT,TIM3,Tbet,VISTA,Vimentin,clcaspase
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051113367912182496,0.7980772144528551,0.07910533356747854,0.0,0.0,0.0,0.41825755100858164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2580293569295832,0.0,0.0,0.00264386442315698,0.0,0.0,0.0,0.0,0.0,0.0,0.14944985350195777,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.08394277098584858,0.0,0.0,0.12007634652500718,0.14447160623946848,0.3180411425678748,0.16056181219783638,0.8486334536179954,0.0,0.435409878748431,0.0,0.0,0.0,0.0,0.0,0.7386106666386254,0.0,0.0,0.0,0.0,0.5068255944274994,0.0,0.0,0.0,0.0,0.49829489307555874,0.0,0.44981283083177,0.0,0.3146872677737105,0.0,0.0,0.0,0.4027140665310409,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19865392757738046,0.5909818308129434,0.0,0.0,0.0,0.0,0.7396081841850727,0.0,0.0,0.0,0.0,0.0,0.0,0.2134894540838105,0.0,0.0,0.31019880548099826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20778171433969322,0.8051515621688052,0.0,0.0,0.0,0.0,0.3253012717975164,0.0,0.0,0.0,0.0,0.0,0.0,0.42233603461984537,0.0,0.0,0.15726561451226587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10110614655703952,0.6317948725505442,0.0,0.022633865777681676,0.0,0.44740491154635836,0.0,0.0,0.8323258753126122,0.0,0.0,0.0,0.0,0.0,0.031672306308698765,0.0,0.0,0.0,0.0,0.0,0.0,0.10476189769503294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.2527335072130008,0.0,0.0,0.0,0.4569304971521074,0.3914087976058434,0.09505144305135148,0.0,0.0,0.0,0.9989185776571274,0.0,0.0,0.0,0.0,0.19485307904181678,0.0,0.47286947894906955,0.0,0.0,0.2758285944743916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03168934923786572,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.9351962007924203,0.4587999883839817,0.0,0.0,0.08937408954641216,0.23357747867427994,0.1222509429750273,0.010206448604207427,0.0,0.0,0.0,0.2268167432341286,0.0,0.0,0.6161644240376024,0.0,0.0,0.0,0.03361495590328256,0.0,0.0,0.18573657713174943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03947380497318875,0.0,0.1273220555326083,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.855481136806682,0.35085763315709895,0.0,0.0,0.06435665113198165,0.15831816679193422,0.4149977734277308,0.06935243830282309,0.18643461467487193,0.0,0.04780789520300549,0.2852156320306728,0.2588438541204583,0.0,0.1591236231303063,0.312771912915117,0.7684440309506445,0.0,0.0639717004512872,0.0,0.03703267719205001,0.1419329207169824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3068422430556268,0.0
9,0.0,0.0,0.05461419464453599,0.10711436307811491,0.0,0.0,0.0,0.1609748340906333,0.38294649310153994,0.08973666357140357,0.21718456575705117,0.0,0.00961622509930537,0.36566405782463923,0.49507586366068124,0.0,0.0,0.2346187169275844,0.9733993380129187,0.122109417302562,0.0335374410872165,0.0,0.0,0.2338087596564139,0.0,0.0,0.0,0.0,0.11480907323940884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049153142366315,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.3974605876579637,0.180913657820472,0.7101380243137213,0.08390229634826624,0.0,0.0,0.0,0.8365547711633781,0.0,0.0,0.0,0.0,0.05774593289611842,0.0,0.032211597218257663,0.0,0.0,0.10387819530838707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07299083297142056,0.0
